,HITId,WorkerId,Answer.annotatedResult.boundingBoxes,Answer.annotatedResult.inputImageProperties.height,Answer.annotatedResult.inputImageProperties.width,image_url_x,labeled_image_fnames
0,3W1K7D6QSBUDPYC4KLGHGP78XSEZB8,AMK5FQAAJ6Z64,"[{""height"":102,""label"":""Shoe"",""left"":83,""top"":242,""width"":282},{""height"":152,""label"":""Shoe"",""left"":325,""top"":222,""width"":382}]",533,800,https://storage.googleapis.com/shoes_to_label/shoe1178.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Mfq%2BcnoEl9K6Bkn%2B79uF3g8doYe9n337tZxrMwIWfrV50E38vwwxKNMEFMhPuDOSIYEB3dtZYXZQP4SwfDsDIbGuO2DsD1oVhGw5pqXc3WQQi52zY3OJVrOKOH7HD0PFha3mNJLqAC4R7DBmXf3yqpRWXb0hhBbypBCqzEcjvkpg63kU8vyH6UFBZbkhLyJ3XLKxkETC2irfGqGSSpeDgammRpKUU%2F9%2BYeu1bZlyZoaQpvOPiFPcuE%2B2cKQgt5KzcOIJxR%2BNens5rEhYJnwQi65y2p1Rx7ofX2KiDWOyGObCdU1MW%2FNt3%2BAPzRH%2Fpk7Y7YjFk%2FKyfk%2FXflnahg5PvQ%3D%3D,shoe_bb_0.png
1,3SU800BH865J75KJXGEZUMNSHA0QUM,A1MYCZT6OX9G20,"[{""height"":47,""label"":""Shoe"",""left"":175,""top"":99,""width"":46},{""height"":42,""label"":""Shoe"",""left"":128,""top"":79,""width"":32},{""height"":53,""label"":""Shoe"",""left"":95,""top"":83,""width"":35},{""height"":50,""label"":""Shoe"",""left"":69,""top"":88,""width"":39}]",168,300,https://storage.googleapis.com/shoes_to_label/shoe585.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=omLWRuelq2tMH1V%2FgRzvpaPylxBC53Mu5sQERE7xZ6FhkKWCzXyZEYG3SSJhUn99TfuWDqU9oOaqlgEXHZFNCv%2BhIlPNCahPzRqJvZBThd4GufKtKEtxvF%2FJ710zG%2BdZWoNCdDFfCI5Cf3CFgQStX9nncsoY7L3GYf9QV8ifc3bQ1x%2FuGYhRqsGenHnAU4nd5qqH7B9HOn6E%2BTNB4gTcCmNGIMwDyScB09KXqdIYj9RjgOSgNxct%2FjpDlvoL1kR4%2BuYYweZmXtHFr4l5m5GOj8uWYZqZIEJIQvryEeO0m90CezCaBPx3dX%2FzCmUwvz2QvjmqquKQV8KRXwLnEQLuFQ%3D%3D,shoe_bb_1.png
2,3X2YVV51PUH8I5P7713LB90HUEK1W2,A2WTDVHVVORNDU,"[{""height"":59,""label"":""Shoe"",""left"":61,""top"":72,""width"":84},{""height"":76,""label"":""Shoe"",""left"":172,""top"":85,""width"":44}]",164,307,https://storage.googleapis.com/shoes_to_label/shoe1179.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=r0jsFhtvbN6ZC%2F7v8RebccMxamPYPMfyB0mTsCEJb8rBwvl6Op%2BvH5dXrpdZG4BNQtuPyoyrzP%2FzmE%2FGcoK7i2ckdsJ7rdD%2Bb7B7XJYUeaU1yKCMFE2Q%2BN2m4%2FVfcdQMF9kRCQtwM760I6YYpzFnG%2BzjJKKwLmEA77EZnT7uGEtBjbDn4PRSKBEyFgDdPSkZkhiwuCphTr3xYV0hpwqN6t3NW%2B6CexBHQIO4093eaBpeqxprWzTTojeVplfToH5NHNCM9sZ9hWbU0t53qdz5wm1B%2FREdiYh1w2YPfGJPsyzUkKx6ZF1FHVhyjGVn23SuQAlHisGhocOI0YvkOs1ukA%3D%3D,shoe_bb_2.png
3,3WGZLY9VCHZRKZ91PR7AYVY414K8DK,A3CHLHS2G2UDXH,"[{""height"":269,""label"":""Shoe"",""left"":556,""top"":267,""width"":142},{""height"":266,""label"":""Shoe"",""left"":331,""top"":284,""width"":148}]",667,1000,https://storage.googleapis.com/shoes_to_label/shoe586.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=qGlaI5HxJFnajJhZRmNRAPKIVX3VZkLc7ZfpvbtAfv67VOs%2BV2stL8tQcDj6g0NVFy1gEu2gB0Bl0oVBvteHY7ABYDjwVI2GVE9IjtrInYUh82EDM5GEwOTydqzWrsDW%2FzjR3ut3D0TzhmVMx2hTeuvVAvjLBb2VXlTEtbcjlAj7lKqrKb7qCrMfxH1Upuu9zSLO8Nlb2QTi5mT2xYDrBPimc1i78wJIRdoEtZySnmwtxwogq6RE0N2pmrPkHZgSSD7jFas4htqAVCCF0%2Bp5yV25MQsHPRfZUEXhnpGBoi5M3oA5JLTuscX9B8QP2eT1Ti0VDbqWf3P%2FWZp0qLxOyg%3D%3D,shoe_bb_3.png
5,30EV7DWJTV87EWL4S8XQR2CEDXZY6V,A1A3E0RQPC6DOS,"[{""height"":237,""label"":""Shoe"",""left"":0,""top"":146,""width"":364}]",390,750,https://storage.googleapis.com/shoes_to_label/shoe588.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=oozYY4uxNb6UgogBXbJL4jZqLLAMmTQ7DyY3cHXm1tdjHvxFCqltki4ksCy8znEpetaHgwDtxINJ0%2Bk%2FkZ5z%2FNteT1KzE%2ByxAw6aCEz70sbak13aNi7kCkJBU2Moq%2Fhg3dgmiP7t3npCikIPUYQh27%2FefLQvib9xoE81ggu5naqdBBsYqmheRmRQVeURmbvLbmw%2FeK3mTDH0BTRdR7oYYyn%2FrTASKlLX3fTfT0K5X%2BN5AkHR2tmfm7L9lWJY7vuIRUt4Bc4ZGPQnumx4jYgiet7XRlBT9F4l3ADU%2FlEwRcyDLTFaXsfBOjcggJuXLmzOEsbFiXHatJNqCqSNPdXjyQ%3D%3D,shoe_bb_5.png
6,3QXFBUZ4ZKTSUGQ5UK9N08JQBNSGUI,AME98XVLFFLCH,"[{""height"":491,""label"":""Shoe"",""left"":290,""top"":41,""width"":274},{""height"":367,""label"":""Shoe"",""left"":555,""top"":156,""width"":249}]",667,1000,https://storage.googleapis.com/shoes_to_label/shoe118.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=K3qIQ0PsrcsVy6QjnkAxiw2KUiMNxmq8tQK370Lp65a1%2F9oXcNR55pcz3MSrhhwQMGzZTMqRSW%2BrbDxSnJ%2Fg6fJuNmh9%2BSezFnROscIHBZegMmU5xAHbfN8s%2FmFCE76A45y%2BW%2B7NwCWZfEAXCDArPXmWg8Phw9bgKrkq3b62RyKvJ1zD8RaEgC%2BlC%2FGrUM7%2BkGAe7eg2oZzmrNZlrOT7M05Vkv7K4WangVWm18fRXCpTIFGwS9kfzJWkTRtfAsMolF7x9vc9ikfO%2BLsYplYiBqGSZDhwtNyINTAgi2sZBrRq%2FRCogbRHX9INM%2FIPnTNlJsOI%2FH%2BRMHQXiv6rxsSicA%3D%3D,shoe_bb_6.png
7,3JGHED38ED4QIWZ9BI2IXGCA88JY7U,A7UNIWDAQROJG,"[{""height"":296,""label"":""Shoe"",""left"":356,""top"":187,""width"":349},{""height"":225,""label"":""Shoe"",""left"":148,""top"":44,""width"":324}]",533,800,https://storage.googleapis.com/shoes_to_label/shoe589.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=XAlkmuofiTY0virNifnjwoJ0K6eJUR0GJfpHIRCyuvee9zFsY8x7imOS2pPxviI4miiTHl6vz6oGIQAKy8ml%2FQt%2FMH62Wk%2FpaagsKv9%2BKWKy%2BPOtUOyeeaywx92olPQRmXva%2BUMqSfE8HIEmTpSBwoZQQCeKqGdoSsOmqO4CP1D%2FPtWyb3vzI70mQ1JOXG3hoBxifuVz1mscp3k766tkoujlHl%2FzTm3NGmD58aigh5MHwQYznTkpII0UH6dBZj6knAAEWPjvEosAT0z%2BAjKfZ1QX204bALl4dRsoYY826Mhqi7I%2F5zvzVODM3UjV28ZdAqbiny%2Bm%2FiidcQBpqqcRXw%3D%3D,shoe_bb_7.png
8,31HLTCK4BL8S7VF5ZAJSWUL9PU1GV7,A24H9XZ7OE8WMW,"[{""height"":118,""label"":""Shoe"",""left"":13,""top"":59,""width"":235}]",196,257,https://storage.googleapis.com/shoes_to_label/shoe1180.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=NTzfBxzM1mck5pG1%2FrgNX2YXBdiG0VG4J3sIlm0d6UoJdet7tBxSIbIiOxxETRI3Yv4wgb6ZcP%2B%2BPUfTwl40%2BvnskX9JAfaMWs2xaIBX903IhapGv6osqYzKpEwIQS4tWms27AVJIfjXNxPdBlRBeburKadrEyCprhtBhL%2BMJY2l78qoqUUQhMER5Hh4XFLqGduUb76qwswLIm3PQTJFeh8IAU8kmGlBYrQ27y49Zk%2FZ6K3Gg2hgWwudUK32Owb5X%2BQNrF8K%2Bd5FWbDZr0jTssOlM01fw7jPtjXk8%2B2xwesuJKQ6XF3NxRc0XNd1AKF2D2uq5hkIFbe0dTC2wbo2iw%3D%3D,shoe_bb_8.png
9,3FCO4VKOZ4QSCRIIBHQOQDKUQWFE7W,A18UH8VWGMHB81,"[{""height"":99,""label"":""Shoe"",""left"":27,""top"":61,""width"":89},{""height"":85,""label"":""Shoe"",""left"":63,""top"":115,""width"":67}]",259,194,https://storage.googleapis.com/shoes_to_label/shoe1181.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=Rnl2w78LgsZX5JuvHs5S0XA%2FbBlwC8g41TTc3zXrx97Hgwn%2Bu8n%2B2zFPkTu6yCVFSquj7sApuSagGI%2FD6TrohtYMqjtzjag9QSZ3yz9WXMTK3AnUHslWgIANpZKPZGURMZU1XYEfro985KALSSA6MYD%2Bu5wrQJpbi6gNfvxxaaYr6RgGmlbNYj0WqwuOrGYUKZsiSeGvQefApdBhp9TzAVf5thAuyt%2F51S8huvzGzKyPGS8IkfQX8Am3HdbK8YFcWJbtrnPqCLXOFJpMpdUhLt9y3Q0KMq0wJtQhKVX%2F8TWWGLpiC3R9qSQA7q7ObEfShSi3UxYqL5PxfndohOoJog%3D%3D,shoe_bb_9.png
11,3YGE63DIN8A8BG4PBIZLX4H7PME0WY,A28QUR0QYD2WI7,"[{""height"":52,""label"":""Shoe"",""left"":532,""top"":528,""width"":94},{""height"":46,""label"":""Shoe"",""left"":807,""top"":528,""width"":35},{""height"":63,""label"":""Shoe"",""left"":857,""top"":502,""width"":41},{""height"":121,""label"":""Shoe"",""left"":343,""top"":411,""width"":55},{""height"":70,""label"":""Shoe"",""left"":86,""top"":506,""width"":112},{""height"":103,""label"":""Shoe"",""left"":214,""top"":443,""width"":56}]",580,960,https://storage.googleapis.com/shoes_to_label/shoe590.jpg?Expires=1593561600&GoogleAccessId=192409338289-compute%40developer.gserviceaccount.com&Signature=VK%2BsD7klFXtxOnT%2Fy77qa4wIFK3%2BWYHwxKPPWpRIlsbe6HX27Q7Dx3M83tneWVhOGhQ2UMMtkWVTmsLVOXOSfij%2BmYs%2FBc%2F6k4qbCQctGE%2BTVOxKQ0LQwgik1fId7XYsiOAbs%2FE7FK3gr5HIdGzO9Z0NKS4Aktr9BmgrizyX9kiYopNGwGw%2FqcsXnBFtK6OqrFxDaqeGUJ3ebYgYnQKw1PVKh5WxQxXoyxBQhNIhx1%2BLXa8V54Jj2AD4rdbKcgvjDyaAbEtewiBF%2F1G2UAtw7hIUiVZ3x8%2FoUthVv4xHBafEOSYtwrmrY%2BJJSk558mN3dYkeb4Jks2opcRsrD%2FAFNw%3D%3D,shoe_bb_11.png
